,Category,Brand,Comments,Repair_Status,Event_Location,Restart_Group,Event_Date,Location_Coordinates
1778,Portable radio,Unknown,None,Fixed,Southampton,Southampton Repair Cafe,2017-06-03,"[50.9161017, -1.425005]"
1779,Lamp,Unknown,None,End of life,Southampton,Southampton Repair Cafe,2017-06-03,"[50.9161017, -1.425005]"
1780,Lamp,Unknown,None,Fixed,Southampton,Southampton Repair Cafe,2017-06-03,"[50.9161017, -1.425005]"
1781,Lamp,Unknown,None,Fixed,Southampton,Southampton Repair Cafe,2017-06-03,"[50.9161017, -1.425005]"
1782,Lamp,Unknown,None,Fixed,Southampton,Southampton Repair Cafe,2017-06-03,"[50.9161017, -1.425005]"
1783,Lamp,Unknown,None,Fixed,Southampton,Southampton Repair Cafe,2017-06-03,"[50.9161017, -1.425005]"
1784,Small kitchen item,Unknown,None,Fixed,Southampton,Southampton Repair Cafe,2017-06-03,"[50.9161017, -1.425005]"
1785,Laptop medium,Unknown,None,End of life,Southampton,Southampton Repair Cafe,2017-06-03,"[50.9161017, -1.425005]"
1786,Small kitchen item,Unknown,None,End of life,Southampton,Southampton Repair Cafe,2017-06-03,"[50.9161017, -1.425005]"
1787,Vacuum,Unknown,None,End of life,Southampton,Southampton Repair Cafe,2017-06-03,"[50.9161017, -1.425005]"
1788,Vacuum,Unknown,None,Fixed,Southampton,Southampton Repair Cafe,2017-06-03,"[50.9161017, -1.425005]"
1789,Projector,Unknown,None,Repairable,Southampton,Southampton Repair Cafe,2017-06-03,"[50.9161017, -1.425005]"
1790,Portable radio,Unknown,None,Fixed,Southampton,Southampton Repair Cafe,2017-06-03,"[50.9161017, -1.425005]"
1791,Misc,Unknown,None,Fixed,Southampton,Southampton Repair Cafe,2017-06-03,"[50.9161017, -1.425005]"
1792,Kettle,Unknown,None,End of life,Southampton,Southampton Repair Cafe,2017-05-06,"[50.9161017, -1.425005]"
1793,Hair & Beauty item,Unknown,None,End of life,Southampton,Southampton Repair Cafe,2017-05-06,"[50.9161017, -1.425005]"
1794,Small kitchen item,Unknown,None,End of life,Southampton,Southampton Repair Cafe,2017-05-06,"[50.9161017, -1.425005]"
1795,Small kitchen item,Unknown,None,Fixed,Southampton,Southampton Repair Cafe,2017-05-06,"[50.9161017, -1.425005]"
1796,Vacuum,Unknown,None,End of life,Southampton,Southampton Repair Cafe,2017-05-06,"[50.9161017, -1.425005]"
1797,Power tool,Unknown,None,Fixed,Southampton,Southampton Repair Cafe,2017-05-06,"[50.9161017, -1.425005]"
1798,Laptop medium,Unknown,None,End of life,Southampton,Southampton Repair Cafe,2017-05-06,"[50.9161017, -1.425005]"
1799,Laptop medium,Unknown,None,Fixed,Southampton,Southampton Repair Cafe,2017-05-06,"[50.9161017, -1.425005]"
1800,Lamp,Unknown,One light bulb broken in the 80 series. Suggested to change with light bulbs with Christmas LEDs. The original cost of the lamp was around 100 Euros.,Repairable,"Milano Cascina Cuccagna, Giacimenti Urbani",Restarters Milano,2018-11-24,"[45.4642035, 9.189982]"
1801,Misc,Unknown,Heating for a few seconds and after shutdown.,Fixed,"Milano Cascina Cuccagna, Giacimenti Urbani",Restarters Milano,2018-11-24,"[45.4642035, 9.189982]"
1802,PC Accessory,Microsoft,"Broken cable near to the power supply. Cut, soldered, and made strong. The cost of a new one is around 100 Euros.",Fixed,"Milano Cascina Cuccagna, Giacimenti Urbani",Restarters Milano,2018-11-24,"[45.4642035, 9.189982]"
1803,Hair & Beauty item,imetec,The fan had a broken blade on 4.  It was unbalanced. We broke the opposite one and it was well balanced again.,Fixed,"Milano Cascina Cuccagna, Giacimenti Urbani",Restarters Milano,2018-11-24,"[45.4642035, 9.189982]"
1804,Misc,Unknown,Microphone seems not to work,Repairable,"Milano Cascina Cuccagna, Giacimenti Urbani",Restarters Milano,2018-11-24,"[45.4642035, 9.189982]"
1805,Misc,Philips,"Not working at all. Fuse broken, bypassed. Troubles in open it, broken a part , fixed with a plastic strip.",Fixed,"Milano Cascina Cuccagna, Giacimenti Urbani",Restarters Milano,2018-11-24,"[45.4642035, 9.189982]"
1806,Misc,Unknown,It works only if the first one is connected and something is adsorbing electric power. Explained.,Fixed,"Milano Cascina Cuccagna, Giacimenti Urbani",Restarters Milano,2018-11-24,"[45.4642035, 9.189982]"
1807,Misc,Bosch,A man arrived with 4 of these with different problems. tried to repair at least one or two of them. Not possible because electric brushes not reachable. No screw. Hot glued.  Not repairable. Low profile tool with a short life.,End of life,"Milano Cascina Cuccagna, Giacimenti Urbani",Restarters Milano,2018-11-24,"[45.4642035, 9.189982]"
1808,Misc,Philips,The iron do not heats. Difficult to unscrew and not time to continue to reach the problem. All basic tests passed.,End of life,"Milano Cascina Cuccagna, Giacimenti Urbani",Restarters Milano,2018-11-24,"[45.4642035, 9.189982]"
1809,Misc,Unknown,"There were no problems at all, it was useful during the party. Probably the problem was in the socket of the wall at the house.",Fixed,"Milano Cascina Cuccagna, Giacimenti Urbani",Restarters Milano,2018-11-24,"[45.4642035, 9.189982]"
1810,Laptop medium,Acer,Boot problems,Fixed,"Milano Cascina Cuccagna, Giacimenti Urbani",Restarters Milano,2018-11-24,"[45.4642035, 9.189982]"
1811,Handheld entertainment device,Grundig,Not switching on. arrived at the end and not time to go further.,Repairable,"Milano Cascina Cuccagna, Giacimenti Urbani",Restarters Milano,2018-11-24,"[45.4642035, 9.189982]"
1812,Small kitchen item,Unknown,None,End of life,Southampton,Southampton Repair Cafe,2017-04-01,"[50.9161017, -1.425005]"
1813,Small kitchen item,Unknown,None,End of life,Southampton,Southampton Repair Cafe,2017-04-01,"[50.9161017, -1.425005]"
1814,Small kitchen item,Unknown,None,Fixed,Southampton,Southampton Repair Cafe,2017-04-01,"[50.9161017, -1.425005]"
1815,Portable radio,Unknown,None,Fixed,Southampton,Southampton Repair Cafe,2017-04-01,"[50.9161017, -1.425005]"
1816,Portable radio,Unknown,None,End of life,Southampton,Southampton Repair Cafe,2017-04-01,"[50.9161017, -1.425005]"
1817,Hi-Fi separates,Unknown,None,End of life,Southampton,Southampton Repair Cafe,2017-04-01,"[50.9161017, -1.425005]"
1818,Toaster,Unknown,None,End of life,Southampton,Southampton Repair Cafe,2017-04-01,"[50.9161017, -1.425005]"
1819,Power tool,Unknown,None,End of life,Southampton,Southampton Repair Cafe,2017-04-01,"[50.9161017, -1.425005]"
1820,Power tool,Unknown,None,End of life,Southampton,Southampton Repair Cafe,2017-04-01,"[50.9161017, -1.425005]"
1821,Vacuum,Unknown,None,Fixed,Southampton,Southampton Repair Cafe,2017-04-01,"[50.9161017, -1.425005]"
1822,Small kitchen item,Unknown,None,End of life,Southampton,Southampton Repair Cafe,2017-03-04,"[50.9161017, -1.425005]"
1823,Misc,Unknown,None,Repairable,Southampton,Southampton Repair Cafe,2017-03-04,"[50.9161017, -1.425005]"
1824,Toaster,Unknown,None,End of life,Southampton,Southampton Repair Cafe,2017-03-04,"[50.9161017, -1.425005]"
1825,Small kitchen item,Unknown,None,Repairable,Southampton,Southampton Repair Cafe,2017-03-04,"[50.9161017, -1.425005]"
1826,Digital Compact Camera,Unknown,None,End of life,Southampton,Southampton Repair Cafe,2017-03-04,"[50.9161017, -1.425005]"
1827,Kettle,Unknown,None,End of life,Southampton,Southampton Repair Cafe,2017-03-04,"[50.9161017, -1.425005]"
1828,Kettle,Unknown,None,End of life,Southampton,Southampton Repair Cafe,2017-03-04,"[50.9161017, -1.425005]"
1829,Portable radio,Unknown,None,End of life,Southampton,Southampton Repair Cafe,2017-03-04,"[50.9161017, -1.425005]"
1830,Mobile,Unknown,None,End of life,Southampton,Southampton Repair Cafe,2017-03-04,"[50.9161017, -1.425005]"
1831,Small kitchen item,Unknown,None,End of life,Southampton,Southampton Repair Cafe,2017-02-04,"[50.9161017, -1.425005]"
1832,Laptop medium,Unknown,None,Fixed,Southampton,Southampton Repair Cafe,2017-02-04,"[50.9161017, -1.425005]"
1833,Toaster,Unknown,None,End of life,Southampton,Southampton Repair Cafe,2017-02-04,"[50.9161017, -1.425005]"
1834,Small kitchen item,Unknown,None,Fixed,Southampton,Southampton Repair Cafe,2017-02-04,"[50.9161017, -1.425005]"
1835,Portable radio,Unknown,None,End of life,Southampton,Southampton Repair Cafe,2017-02-04,"[50.9161017, -1.425005]"
1836,Hi-Fi separates,Unknown,None,End of life,Southampton,Southampton Repair Cafe,2017-02-04,"[50.9161017, -1.425005]"
1837,Digital Compact Camera,Unknown,None,End of life,Southampton,Southampton Repair Cafe,2017-02-04,"[50.9161017, -1.425005]"
1838,Printer/scanner,Unknown,None,Fixed,Southampton,Southampton Repair Cafe,2017-02-04,"[50.9161017, -1.425005]"
1839,Power tool,Unknown,None,Fixed,Southampton,Southampton Repair Cafe,2017-02-04,"[50.9161017, -1.425005]"
1840,Misc,Unknown,None,Fixed,Southampton,Southampton Repair Cafe,2017-02-04,"[50.9161017, -1.425005]"
1841,Lamp,Unknown,None,Fixed,Southampton,Southampton Repair Cafe,2017-02-04,"[50.9161017, -1.425005]"
1842,Vacuum,Unknown,None,Fixed,Southampton,Southampton Repair Cafe,2017-02-04,"[50.9161017, -1.425005]"
1843,Lamp,Unknown,None,Fixed,Southampton,Southampton Repair Cafe,2017-01-31,"[50.9161017, -1.425005]"
1844,Lamp,Unknown,None,Fixed,Southampton,Southampton Repair Cafe,2017-01-31,"[50.9161017, -1.425005]"
1845,Small kitchen item,Unknown,None,Fixed,Southampton,Southampton Repair Cafe,2017-01-31,"[50.9161017, -1.425005]"
1846,Laptop medium,Unknown,None,Repairable,Southampton,Southampton Repair Cafe,2014-04-04,"[50.9161017, -1.425005]"
1847,Kettle,Unknown,None,Repairable,Southampton,Southampton Repair Cafe,2014-04-04,"[50.9161017, -1.425005]"
1848,Digital Compact Camera,Unknown,None,End of life,Southampton,Southampton Repair Cafe,2014-04-04,"[50.9161017, -1.425005]"
1849,Misc,Unknown,None,End of life,Southampton,Southampton Repair Cafe,2015-07-04,"[50.9161017, -1.425005]"
1850,Portable radio,Unknown,None,End of life,Southampton,Southampton Repair Cafe,2015-07-04,"[50.9161017, -1.425005]"
1851,Small kitchen item,Unknown,None,Repairable,Southampton,Southampton Repair Cafe,2015-07-04,"[50.9161017, -1.425005]"
1852,Misc,Unknown,None,Fixed,Southampton,Southampton Repair Cafe,2015-07-04,"[50.9161017, -1.425005]"
1853,Misc,Unknown,Gives no light (bad contact),Fixed,STPLN,Repair Cafe Malmö,2018-11-25,"[55.6134105, 12.9839773]"
1854,Musical instrument,Unknown,Missing button,Fixed,STPLN,Repair Cafe Malmö,2018-11-25,"[55.6134105, 12.9839773]"
1855,Headphones,AKG,Bad connection in one channel,Repairable,STPLN,Repair Cafe Malmö,2018-11-25,"[55.6134105, 12.9839773]"
1856,Misc,Unknown,Loose cable inside,Fixed,STPLN,Repair Cafe Malmö,2018-11-25,"[55.6134105, 12.9839773]"
1857,Small kitchen item,OBH Nordica,Hand mixer. Doesn't turn on. We couldn't open the main body of the mixer it to fully assess/repair,End of life,STPLN,Repair Cafe Malmö,2018-11-25,"[55.6134105, 12.9839773]"
1858,Laptop medium,Lenovo,"Didn't turn on. Found fault in charging plug. Found different plug. Turned on! We thought we were on the way to a fix. Then tried to switch out  wifi card (did not accept it) and backed up hard drive.  When reinstalling hard drive, computer plug  came out and computer shut down. Could not be turned on again.  We could not find why!",End of life,STPLN,Repair Cafe Malmö,2018-11-25,"[55.6134105, 12.9839773]"
1859,PC Accessory,Unknown,loose wire. customer completed repair herself,Repairable,Southampton,Southampton Repair Cafe,2016-12-03,"[50.9161017, -1.425005]"
1860,Vacuum,Unknown,None,End of life,Southampton,Southampton Repair Cafe,2016-12-03,"[50.9161017, -1.425005]"
1861,Small kitchen item,Unknown,None,End of life,Southampton,Southampton Repair Cafe,2016-12-03,"[50.9161017, -1.425005]"
1862,Small kitchen item,Unknown,None,End of life,Southampton,Southampton Repair Cafe,2016-12-03,"[50.9161017, -1.425005]"
1863,Power tool,Unknown,None,End of life,Southampton,Southampton Repair Cafe,2016-12-03,"[50.9161017, -1.425005]"
1864,Power tool,Unknown,None,End of life,Southampton,Southampton Repair Cafe,2016-12-03,"[50.9161017, -1.425005]"
1865,Hi-Fi separates,Unknown,None,Fixed,Southampton,Southampton Repair Cafe,2016-12-03,"[50.9161017, -1.425005]"
1866,Hi-Fi separates,Unknown,None,End of life,Southampton,Southampton Repair Cafe,2016-12-03,"[50.9161017, -1.425005]"
1867,TV and gaming-related accessories,Unknown,None,End of life,Southampton,Southampton Repair Cafe,2016-11-05,"[50.9161017, -1.425005]"
1868,Misc,Unknown,None,Fixed,Southampton,Southampton Repair Cafe,2016-11-05,"[50.9161017, -1.425005]"
1869,Misc,Unknown,None,Fixed,Southampton,Southampton Repair Cafe,2016-11-05,"[50.9161017, -1.425005]"
1870,Misc,Unknown,None,Fixed,Southampton,Southampton Repair Cafe,2016-11-05,"[50.9161017, -1.425005]"
1871,Laptop medium,Unknown,None,Fixed,Southampton,Southampton Repair Cafe,2016-11-05,"[50.9161017, -1.425005]"
1872,Vacuum,Dyson,None,Fixed,Southampton,Southampton Repair Cafe,2016-11-05,"[50.9161017, -1.425005]"
1873,Hi-Fi separates,Unknown,None,Fixed,Southampton,Southampton Repair Cafe,2016-11-05,"[50.9161017, -1.425005]"
1874,Hair & Beauty item,Unknown,None,Repairable,Southampton,Southampton Repair Cafe,2016-10-01,"[50.9161017, -1.425005]"
1875,Hi-Fi separates,Unknown,None,Repairable,Southampton,Southampton Repair Cafe,2016-10-01,"[50.9161017, -1.425005]"
1876,Hi-Fi separates,Unknown,None,Repairable,Southampton,Southampton Repair Cafe,2016-10-01,"[50.9161017, -1.425005]"
1877,Desktop computer,Unknown,None,Fixed,Southampton,Southampton Repair Cafe,2016-10-01,"[50.9161017, -1.425005]"
1878,TV and gaming-related accessories,Unknown,None,Repairable,Southampton,Southampton Repair Cafe,2016-10-01,"[50.9161017, -1.425005]"
1879,Toaster,Unknown,None,Repairable,Southampton,Southampton Repair Cafe,2016-10-01,"[50.9161017, -1.425005]"
1880,Power tool,Unknown,None,Repairable,Southampton,Southampton Repair Cafe,2016-09-03,"[50.9161017, -1.425005]"
1881,Toy,Unknown,None,End of life,Southampton,Southampton Repair Cafe,2016-09-03,"[50.9161017, -1.425005]"
1882,Toy,Unknown,None,Fixed,Southampton,Southampton Repair Cafe,2016-09-03,"[50.9161017, -1.425005]"
1883,Hi-Fi separates,Unknown,None,Fixed,Southampton,Southampton Repair Cafe,2016-09-03,"[50.9161017, -1.425005]"
1884,Hi-Fi separates,Unknown,None,Fixed,Southampton,Southampton Repair Cafe,2016-09-03,"[50.9161017, -1.425005]"
1885,Vacuum,Dyson,None,End of life,Southampton,Southampton Repair Cafe,2016-09-03,"[50.9161017, -1.425005]"
1886,Hair & Beauty item,Unknown,None,Fixed,Southampton,Southampton Repair Cafe,2016-09-03,"[50.9161017, -1.425005]"
1887,Laptop medium,Unknown,None,End of life,Southampton,Southampton Repair Cafe,2016-09-03,"[50.9161017, -1.425005]"
1888,Laptop medium,Unknown,None,End of life,Southampton,Southampton Repair Cafe,2016-09-03,"[50.9161017, -1.425005]"
1889,Desktop computer,Unknown,None,Fixed,Southampton,Southampton Repair Cafe,2016-09-03,"[50.9161017, -1.425005]"
1890,Lamp,Unknown,None,Fixed,Southampton,Southampton Repair Cafe,2016-08-06,"[50.9161017, -1.425005]"
1891,PC Accessory,Unknown,None,End of life,Southampton,Southampton Repair Cafe,2016-08-06,"[50.9161017, -1.425005]"
1892,Desktop computer,Unknown,None,End of life,Southampton,Southampton Repair Cafe,2016-08-06,"[50.9161017, -1.425005]"
1893,Desktop computer,Unknown,None,Fixed,Southampton,Southampton Repair Cafe,2016-08-06,"[50.9161017, -1.425005]"
1894,Small kitchen item,Unknown,None,End of life,Southampton,Southampton Repair Cafe,2016-08-06,"[50.9161017, -1.425005]"
1895,Power tool,Unknown,None,Fixed,Southampton,Southampton Repair Cafe,2016-08-06,"[50.9161017, -1.425005]"
1896,Misc,Unknown,None,Fixed,Southampton,Southampton Repair Cafe,2016-07-02,"[50.9161017, -1.425005]"
1897,Misc,Unknown,None,Fixed,Southampton,Southampton Repair Cafe,2016-07-02,"[50.9161017, -1.425005]"
1898,Power tool,Unknown,None,End of life,Southampton,Southampton Repair Cafe,2016-07-02,"[50.9161017, -1.425005]"
1899,Hi-Fi separates,Unknown,None,End of life,Southampton,Southampton Repair Cafe,2016-07-02,"[50.9161017, -1.425005]"
1900,Toy,Unknown,None,End of life,Southampton,Southampton Repair Cafe,2016-07-02,"[50.9161017, -1.425005]"
1901,Laptop medium,Unknown,None,Fixed,Southampton,Southampton Repair Cafe,2016-06-04,"[50.9161017, -1.425005]"
1902,Printer/scanner,Unknown,None,End of life,Southampton,Southampton Repair Cafe,2016-06-04,"[50.9161017, -1.425005]"
1903,Desktop computer,Unknown,None,End of life,Southampton,Southampton Repair Cafe,2016-06-04,"[50.9161017, -1.425005]"
1904,Power tool,Unknown,None,Fixed,Southampton,Southampton Repair Cafe,2016-06-04,"[50.9161017, -1.425005]"
1905,Hi-Fi separates,Unknown,None,Repairable,Southampton,Southampton Repair Cafe,2016-06-04,"[50.9161017, -1.425005]"
1906,Vacuum,Unknown,None,Fixed,Southampton,Southampton Repair Cafe,2016-05-07,"[50.9161017, -1.425005]"
1907,Vacuum,Unknown,None,Fixed,Southampton,Southampton Repair Cafe,2016-05-07,"[50.9161017, -1.425005]"
1908,Hi-Fi separates,Unknown,None,Fixed,Southampton,Southampton Repair Cafe,2016-05-07,"[50.9161017, -1.425005]"
1909,Power tool,Unknown,None,End of life,Southampton,Southampton Repair Cafe,2016-05-07,"[50.9161017, -1.425005]"
1910,Power tool,Unknown,None,Repairable,Southampton,Southampton Repair Cafe,2016-05-07,"[50.9161017, -1.425005]"
1911,Toaster,Unknown,could not access device to attempt fix,End of life,Southampton,Southampton Repair Cafe,2016-04-02,"[50.9161017, -1.425005]"
1912,Lamp,Unknown,None,Fixed,Southampton,Southampton Repair Cafe,2016-04-02,"[50.9161017, -1.425005]"
1913,Vacuum,Unknown,could not access equipment to attempt fix,End of life,Southampton,Southampton Repair Cafe,2016-04-02,"[50.9161017, -1.425005]"
1914,Hi-Fi separates,Unknown,None,Repairable,Southampton,Southampton Repair Cafe,2016-04-02,"[50.9161017, -1.425005]"
1915,Hair & Beauty item,Unknown,None,Repairable,Southampton,Southampton Repair Cafe,2016-04-02,"[50.9161017, -1.425005]"
1916,Hi-Fi separates,Unknown,None,End of life,Southampton,Southampton Repair Cafe,2016-03-05,"[50.9161017, -1.425005]"
1917,Portable radio,Unknown,None,End of life,Southampton,Southampton Repair Cafe,2016-03-05,"[50.9161017, -1.425005]"
1918,Lamp,Unknown,None,Fixed,Southampton,Southampton Repair Cafe,2016-03-05,"[50.9161017, -1.425005]"
1919,Hair & Beauty item,Unknown,None,End of life,Southampton,Southampton Repair Cafe,2016-02-06,"[50.9161017, -1.425005]"
1920,Small kitchen item,Unknown,None,Repairable,Southampton,Southampton Repair Cafe,2016-02-06,"[50.9161017, -1.425005]"
1921,Lamp,Unknown,None,Fixed,Southampton,Southampton Repair Cafe,2016-02-06,"[50.9161017, -1.425005]"
1922,Lamp,Unknown,None,Fixed,Southampton,Southampton Repair Cafe,2016-02-06,"[50.9161017, -1.425005]"
1923,Small kitchen item,Unknown,None,End of life,Southampton,Southampton Repair Cafe,2016-02-06,"[50.9161017, -1.425005]"
1924,Small kitchen item,Unknown,None,End of life,Southampton,Southampton Repair Cafe,2016-02-06,"[50.9161017, -1.425005]"
1925,Kettle,Unknown,None,Fixed,Southampton,Southampton Repair Cafe,2016-02-06,"[50.9161017, -1.425005]"
1926,Kettle,Unknown,None,Fixed,Southampton,Southampton Repair Cafe,2016-02-06,"[50.9161017, -1.425005]"
1927,Laptop medium,Unknown,None,Fixed,Southampton,Southampton Repair Cafe,2015-12-05,"[50.9161017, -1.425005]"
1928,Laptop medium,Unknown,None,Fixed,Southampton,Southampton Repair Cafe,2015-12-05,"[50.9161017, -1.425005]"
1929,Printer/scanner,Unknown,None,Fixed,Southampton,Southampton Repair Cafe,2015-12-05,"[50.9161017, -1.425005]"
1930,Vacuum,Unknown,None,Fixed,Southampton,Southampton Repair Cafe,2015-12-05,"[50.9161017, -1.425005]"
1931,Hair & Beauty item,Pifco,Used at the wrong voltage when travelling. Just needed a new fuse.,Fixed,Totnes Civic Hall,Restarters Totnes,2018-11-24,"[50.433741, -3.685797]"
1932,Kettle,Russell Hobbs,Doesn't stay on when switch pressed.,End of life,Totnes Civic Hall,Restarters Totnes,2018-11-24,"[50.433741, -3.685797]"
1933,Small kitchen item,Unknown,Blender doesn't turn on,Fixed,Totnes Civic Hall,Restarters Totnes,2018-11-24,"[50.433741, -3.685797]"
1934,Tablet,Unknown,Faulty connector,Repairable,Totnes Civic Hall,Restarters Totnes,2018-11-24,"[50.433741, -3.685797]"
1935,Laptop medium,Unknown,Faulty button on keyboard. Instructions given to glue it back,Fixed,Totnes Civic Hall,Restarters Totnes,2018-11-24,"[50.433741, -3.685797]"
1936,Hi-Fi separates,Unknown,Speakers didn't turn on. Given a new power lead,Fixed,Totnes Civic Hall,Restarters Totnes,2018-11-24,"[50.433741, -3.685797]"
1937,Portable radio,Unknown,Wavelength changing button fluffy,End of life,Totnes Civic Hall,Restarters Totnes,2018-11-24,"[50.433741, -3.685797]"
1938,Vacuum,Dyson,Doesn't turn on. Power cable trimmed.,Fixed,Totnes Civic Hall,Restarters Totnes,2018-11-24,"[50.433741, -3.685797]"
1939,Misc,Unknown,Timer doesn't work. Needs a new relay,Repairable,Totnes Civic Hall,Restarters Totnes,2018-11-24,"[50.433741, -3.685797]"
1940,Misc,Unknown,timer doesn't work,Fixed,Totnes Civic Hall,Restarters Totnes,2018-11-24,"[50.433741, -3.685797]"
1941,Headphones,Sennheiser,Only 1 side of the headphones work,Fixed,Totnes Civic Hall,Restarters Totnes,2018-11-24,"[50.433741, -3.685797]"
1942,Headphones,Sennheiser,Only 1 side of the headphones work,Fixed,Totnes Civic Hall,Restarters Totnes,2018-11-24,"[50.433741, -3.685797]"
1943,Misc,Kenwood,"The motor works, but the paddle doesn't. Turned out the belt needed putting back in place",Fixed,Totnes Civic Hall,Restarters Totnes,2018-11-24,"[50.433741, -3.685797]"
1944,Laptop small,Acer,The OS resets on every boot cycle and the keyboard unresponsive. Dead control chip.,End of life,Totnes Civic Hall,Restarters Totnes,2018-11-24,"[50.433741, -3.685797]"
1945,Desktop computer,Acer,Doesn't turn on. Needed a new power switch.,Repairable,Totnes Civic Hall,Restarters Totnes,2018-11-24,"[50.433741, -3.685797]"
1946,Lamp,Unknown,"A lamp made from a large salt crystal. Needed the bulb replacing, but the design of the lamp requires total disassembly. New bulb sucessfully installed",Fixed,Totnes Civic Hall,Restarters Totnes,2018-11-24,"[50.433741, -3.685797]"
1947,Misc,Unknown,Needs converting to modern phone sockets,Fixed,Totnes Civic Hall,Restarters Totnes,2018-11-24,"[50.433741, -3.685797]"
1948,Mobile,Fairphone,The Mic & charging module not working. Couldn't fix it.,Repairable,Totnes Civic Hall,Restarters Totnes,2018-11-24,"[50.433741, -3.685797]"
1949,Musical instrument,Unknown,Doesn't turn on. Needs a new LCD screen - checked to find where these can be purchased.,Repairable,Totnes Civic Hall,Restarters Totnes,2018-11-24,"[50.433741, -3.685797]"
1950,Hair & Beauty item,Unknown,"They don't heat up. Still in warranty, will be returned to manufacturer",Repairable,Totnes Civic Hall,Restarters Totnes,2018-11-24,"[50.433741, -3.685797]"
1951,"Flat screen 22-24""",Bush,"Turns on, but the display doesn't work. The main circuit board was fried",End of life,Totnes Civic Hall,Restarters Totnes,2018-11-24,"[50.433741, -3.685797]"
1952,Power tool,Unknown,Doesn't turn on. It needs a new port,Repairable,Totnes Civic Hall,Restarters Totnes,2018-11-24,"[50.433741, -3.685797]"
1953,Mobile,Samsung,Had been exposed to water and wanted to check for water damage,Fixed,Totnes Civic Hall,Restarters Totnes,2018-11-24,"[50.433741, -3.685797]"
1954,Mobile,Apple,Broken screen and bad battery,Fixed,STPLN,Repair Cafe Malmö,2018-11-18,"[55.6134105, 12.9839773]"
1955,Lamp,Unknown,Batteries had leaked,Fixed,STPLN,Repair Cafe Malmö,2018-11-18,"[55.6134105, 12.9839773]"
1956,Lamp,Unknown,Needed cable from dynamo to back light.,Fixed,STPLN,Repair Cafe Malmö,2018-11-18,"[55.6134105, 12.9839773]"
1957,Lamp,Unknown,"Needed new cable, with protective earth",Repairable,STPLN,Repair Cafe Malmö,2018-11-18,"[55.6134105, 12.9839773]"
1958,Laptop medium,Unknown,"Laptop not Charging. Power Supply checked, etc. but no fault found.",End of life,Limerick FabLAB,Restarters Limerick,2018-11-17,"[52.6638367, -8.6267343]"
1959,Mobile,Apple,Broken Screen - Replaced and Phone Repaired,Fixed,Limerick FabLAB,Restarters Limerick,2018-11-17,"[52.6638367, -8.6267343]"
1960,Laptop medium,Unknown,Broken Connector on the Power Supply - Fixed/Replaced and Repaired,Fixed,Limerick FabLAB,Restarters Limerick,2018-11-17,"[52.6638367, -8.6267343]"
1961,Mobile,Apple,Broken Screen - Screen Replaced and Phone Restored,Fixed,Limerick FabLAB,Restarters Limerick,2018-11-17,"[52.6638367, -8.6267343]"
1962,DLSR / Video Camera,Polaroid,Power is not going to the camera shutter circuit.,Repairable,Limerick FabLAB,Restarters Limerick,2018-11-17,"[52.6638367, -8.6267343]"
1963,Misc,Unknown,DVD Player - DVD Disc stuck in player. DVD removed and Unit working again.,Fixed,Limerick FabLAB,Restarters Limerick,2018-11-17,"[52.6638367, -8.6267343]"
1964,Tablet,Samsung,Broken Screen - Client needs to source replacement screen for next Restarter Party,Repairable,Limerick FabLAB,Restarters Limerick,2018-11-17,"[52.6638367, -8.6267343]"
1965,Laptop medium,Unknown,"Not powering up - Opened, Tested but Not Repairable",End of life,Limerick FabLAB,Restarters Limerick,2018-11-17,"[52.6638367, -8.6267343]"
1966,PC Accessory,Unknown,"PC Power Supply not working - Tested, but fault not found",End of life,Limerick FabLAB,Restarters Limerick,2018-11-17,"[52.6638367, -8.6267343]"
1967,PC Accessory,ATI,"Graphics Card not Working - Dismantled, Cleaned and Restored for Testing",Repairable,Limerick FabLAB,Restarters Limerick,2018-11-17,"[52.6638367, -8.6267343]"
1968,PC Accessory,Unknown,Plug Broken - Replaced with New Plug,Fixed,Limerick FabLAB,Restarters Limerick,2018-11-17,"[52.6638367, -8.6267343]"
1969,Misc,Apple,Docking Station not working - Cleaned and Repaired PCB,Repairable,Limerick FabLAB,Restarters Limerick,2018-11-17,"[52.6638367, -8.6267343]"
1970,Digital Compact Camera,Unknown,Device Not Working,Fixed,Limerick FabLAB,Restarters Limerick,2018-11-17,"[52.6638367, -8.6267343]"
1971,Misc,Apple,not working,End of life,Kinning Park Complex,Repair Café Glasgow,2018-11-17,"[55.8507644, -4.2871166]"
1972,Handheld entertainment device,Sony,powers on but won't play cassette,Repairable,Kinning Park Complex,Repair Café Glasgow,2018-11-17,"[55.8507644, -4.2871166]"
1973,"Flat screen 32-37""",Bush,powers on but black screen,Repairable,Kinning Park Complex,Repair Café Glasgow,2018-11-17,"[55.8507644, -4.2871166]"
1974,Headphones,Unknown,one side not working,Fixed,Kinning Park Complex,Repair Café Glasgow,2018-11-17,"[55.8507644, -4.2871166]"
1975,Misc,Unknown,powers up but doesn't vibrate,End of life,Kinning Park Complex,Repair Café Glasgow,2018-11-17,"[55.8507644, -4.2871166]"
1976,Mobile,Samsung,time/date wrong,Repairable,Kinning Park Complex,Repair Café Glasgow,2018-11-17,"[55.8507644, -4.2871166]"
1977,Lamp,amanis,bulb blows,Fixed,Kinning Park Complex,Repair Café Glasgow,2018-11-17,"[55.8507644, -4.2871166]"
